zeit_utc,strasse,sperre_von,sperre_bis,centralpark_occupied,centralpark_occupied_short_stay,centralpark_occupied_subscribers,albingross_occupied,albingross_occupied_short_stay,albingross_occupied_subscribers,wetter_tag,wetter,temp_max,regen_mm
2026-09-05T18:52:22Z,open,09:00,17:00,0,22,0,14,6,8,2026-09-05,sunny,30,1
2026-09-05T19:06:13Z,open,09:00,17:00,0,19,0,14,6,8,2026-09-05,sunny,30,1
2026-09-05T19:16:56Z,open,09:00,17:00,0,19,0,14,6,8,2026-09-05,sunny,30,1
2026-09-05T21:24:19Z,open,09:00,17:00,0,12,0,9,3,6,2026-09-05,sunny,30,1
2026-09-05T23:02:08Z,open,09:00,17:00,0,11,0,9,3,6,2026-09-06,sunny,29,1
2026-09-06T01:07:06Z,open,09:00,17:00,0,11,0,9,3,6,2026-09-06,sunny,29,1
2026-09-06T06:06:41Z,open,09:00,17:00,0,10,0,9,3,6,2026-09-06,sunny,29,1
2026-09-06T11:08:23Z,closed,09:00,17:00,0,38,0,35,28,7,2026-09-06,sunny,29,1
2026-09-06T14:15:46Z,closed,09:00,17:00,0,32,0,19,14,5,2026-09-06,sunny,29,1
2026-09-06T17:10:17Z,open,09:00,17:00,0,24,0,12,6,6,2026-09-06,sunny,29,1
2026-09-06T19:20:04Z,open,09:00,17:00,0,14,0,9,2,7,2026-09-06,sunny,29,1
2026-09-06T21:28:56Z,open,09:00,17:00,0,11,0,6,1,5,2026-09-06,sunny,29,1
2026-09-06T22:57:52Z,open,09:00,17:00,0,11,0,6,1,5,2026-09-07,cloudy,25,2
2026-09-07T00:38:13Z,open,09:00,17:00,0,11,0,6,1,5,2026-09-07,cloudy,25,2
2026-09-07T05:21:23Z,open,09:00,17:00,0,19,0,6,1,5,2026-09-07,cloudy,25,2
2026-09-07T10:31:44Z,closed,09:00,17:00,0,46,0,39,33,6,2026-09-07,cloudy,25,2
2026-09-07T16:09:08Z,open,09:00,17:00,0,28,0,20,15,5,2026-09-07,cloudy,25,2
2026-09-07T20:02:11Z,open,09:00,17:00,0,11,0,10,6,4,2026-09-07,cloudy,25,2
2026-09-07T22:53:53Z,open,09:00,17:00,0,11,0,10,6,4,2026-09-08,partly cloudy,26,1
2026-09-08T00:46:18Z,open,09:00,17:00,0,11,0,10,6,4,2026-09-08,partly cloudy,26,1
2026-09-08T05:24:24Z,open,09:00,17:00,0,16,0,11,7,4,2026-09-08,partly cloudy,26,1
2026-09-08T09:52:34Z,closed,09:00,17:00,0,37,0,31,25,6,2026-09-08,partly cloudy,26,1
2026-09-08T13:56:57Z,closed,09:00,17:00,0,41,0,25,20,5,2026-09-08,partly cloudy,26,1
2026-09-08T17:41:04Z,open,09:00,17:00,0,29,0,15,13,2,2026-09-08,partly cloudy,26,1
2026-09-08T20:23:21Z,open,09:00,17:00,0,14,0,7,6,1,2026-09-08,partly cloudy,26,1
2026-09-08T22:46:58Z,open,09:00,17:00,0,11,0,8,6,2,2026-09-09,cloudy,21,6
2026-09-09T00:46:34Z,open,09:00,17:00,0,11,0,8,6,2,2026-09-09,cloudy,21,6
2026-09-09T05:26:59Z,open,09:00,17:00,0,18,0,10,7,3,2026-09-09,cloudy,21,6
2026-09-09T09:57:05Z,closed,09:00,17:00,0,56,0,30,24,6,2026-09-09,cloudy,21,6
2026-09-09T14:04:14Z,closed,09:00,17:00,0,41,0,26,23,3,2026-09-09,cloudy,21,6
2026-09-09T17:53:02Z,open,09:00,17:00,0,23,0,12,9,3,2026-09-09,cloudy,21,6
2026-09-09T20:07:03Z,open,09:00,17:00,0,13,0,9,7,2,2026-09-09,cloudy,21,6
2026-09-09T22:38:36Z,open,09:00,17:00,0,11,0,8,6,2,2026-09-10,partly cloudy,18,1
2026-09-10T00:41:25Z,open,09:00,17:00,0,11,0,8,6,2,2026-09-10,partly cloudy,18,1
2026-09-10T05:24:01Z,open,09:00,17:00,0,19,0,6,6,0,2026-09-10,partly cloudy,18,1
2026-09-10T09:52:56Z,closed,09:00,17:00,1,63,0,48,42,6,2026-09-10,partly cloudy,18,1
2026-09-10T13:54:41Z,closed,09:00,17:00,0,45,0,26,23,4,2026-09-10,partly cloudy,18,1
2026-09-10T17:21:08Z,open,09:00,17:00,0,16,0,10,7,3,2026-09-10,partly cloudy,18,1
2026-09-10T19:51:51Z,open,09:00,17:00,0,10,0,7,6,1,2026-09-10,partly cloudy,18,1
2026-09-10T22:00:43Z,open,09:00,17:00,0,12,0,8,6,2,2026-09-11,sunny,19,1
2026-09-11T00:16:31Z,open,09:00,17:00,0,12,0,8,6,2,2026-09-11,sunny,19,1
2026-09-11T04:53:23Z,open,09:00,17:00,0,16,0,9,6,3,2026-09-11,sunny,19,1
2026-09-11T09:12:54Z,closed,09:00,17:00,0,66,0,30,23,7,2026-09-11,sunny,19,1
2026-09-11T13:40:05Z,closed,09:00,17:00,0,49,0,25,22,3,2026-09-11,sunny,19,1
2026-09-11T17:22:33Z,open,09:00,17:00,0,18,0,11,9,2,2026-09-11,sunny,19,1
